company;role;Salary
Qualcomm;руководитель отдела по работе с клиентами;49600
Quanta Services;менеджер кампаний по электронной почте;44800
Regions Financial;инженер-электрик;52000
Renishaw;менеджер по социальным сетям;52000
Republic Services;менеджер по работе со стратегическими клиентами;50400
Revlon;штатная медсестра;51200
Reynolds American Inc.;Специалист по документации;48000
Ryder System;дизайнер пользовательского интерфейса;52000
Salesforce;юрист по опеке над детьми;47200
SAP SE;руководитель группы продаж;51200
Seaboard;аналитик по рискам;45600
SF Express;JavaScript разработчик;46400
Siemens India;юридический секретарь;47200
Spotify Technology S.A.;специалист по ИТ-поддержке;44000
Starbucks;разработчик мобильных приложений;44800
Steel Dynamics;менеджер по инфраструктуре;45600
Stockland Corporation;дизайнер пользовательского интерфейса;44800
Sun Pharmaceutical Industries;менеджер по обеспечению качества обслуживания;45600
TAG Immobilien AG;инженер по системам электропитания;52000
Tata Consumer Products;тестировщик автоматизированного оборудования;46400
TD Ameritrade Holding Corporation;менеджер по работе с ключевыми клиентами;52000
Tencent Holdings;JavaScript разработчик;50400
Tenet Healthcare;менеджер по стратегическим партнерствам;52000
Tesla;инженер по автоматизированному тестированию;44800
Textron;Практикующая медсестра по оказанию неотложной помощи;44000
ThyssenKrupp AG;инженер-механик;52000
Titan Company;менеджер по привлечению талантов;46400
TPG Telecom;адвокат по семейному праву;51200
Travelers;IT-аналитик;50400
Tullow Oil;Координатор мероприятий;48800
Uber Technologies;менеджер ИТ-проектов;48800
UGI;Исследователь пользователей;50400
Ulta Beauty;менеджер по работе с ключевыми клиентами;49600
Unilever;инженер по электронному оборудованию;47200
United Airlines Holdings;Координатор мероприятий;52000
United Services Automobile Assn.;менеджер по контролю качества;48800
UnitedHealth Group;Градостроитель;51200
US Foods Holding;разработчик баз данных SQL;46400
WESCO International;консультант по устойчивому развитию;50400
Western Digital;менеджер по социальным сетям;48000
Williams;менеджер по работе с клиентами;49600
Workspace Group;аналитик социальных сетей;44800
Xcel Energy;инженер-строитель;51200
Zee Entertainment Enterprises;Дизайнер интерфейсов;52000
Аэрофлот;офисный координатор;44800
Банковская группа;разработчик мобильных приложений;47200
Блок;Специалист по сетевой безопасности;50400
ВК;Специалист по анализу данных;52000
Вкусно и точка;специалист по тестированию производительности;45600
Всезнайка;логопед;49600
Газировка;Дизайнер по охране окружающей среды;48800
Графическая упаковка;менеджер по контролю качества;51200
Здоровье;дизайнер взаимодействия;45600
Отель Луна;Бизнес-аналитик;46400
страховая биржа Farmers;классный руководитель;48800
Электрокомпоненты;семейный консультант;50400
